transfer_id,from_account,to_account,currency,amount,fee,date_requested,date_settled
TRF-0078,ACC-006,ACC-004,USD,35636.25,102.17,2025-01-08,2025-01-11
TRF-0043,ACC-003,ACC-006,COP,153606417.3,238783.01,2025-06-24,2025-06-26
TRF-0063,ACC-006,ACC-003,USD,103482.81,247.79,2025-03-28,2025-03-31
TRF-0022,ACC-001,ACC-006,COP,201275808.02,658071.96,2025-05-19,2025-05-21
TRF-0027,ACC-002,ACC-005,USD,33091.74,105.58,2025-05-23,2025-05-25
TRF-0067,ACC-001,ACC-003,COP,60233034.7,24093.21,2025-09-06,2025-09-06
TRF-0142,ACC-002,ACC-005,USD,79158.77,128.31,2025-08-15,2025-08-16
TRF-0029,ACC-006,ACC-002,USD,9351.61,3.74,2025-08-03,2025-08-03
TRF-0005,ACC-002,ACC-006,USD,8816.15,3.53,2025-08-01,2025-08-01
TRF-0037,ACC-004,ACC-003,MXN,51798.27,97.93,2025-05-10,2025-05-12
TRF-0053,ACC-004,ACC-006,MXN,27234.59,54.17,2025-08-26,2025-08-27
TRF-0032,ACC-005,ACC-001,MXN,83422.99,204.95,2025-07-25,2025-07-28
TRF-0066,ACC-001,ACC-004,COP,274495081.26,1051645.6,2025-07-11,2025-07-12
TRF-0040,ACC-004,ACC-001,MXN,89824.3,316.34,2025-01-08,2025-01-10
TRF-0100,ACC-004,ACC-005,MXN,59719.63,23.89,2025-04-08,2025-04-08
TRF-0086,ACC-005,ACC-006,MXN,46714.26,111.68,2025-04-24,2025-04-26
TRF-0135,ACC-003,ACC-005,COP,207025402.45,462588.06,2025-03-15,2025-03-18
TRF-0139,ACC-005,ACC-004,MXN,60636.74,24.25,2025-04-06,2025-04-06
TRF-0076,ACC-003,ACC-004,COP,266263437.21,540210.72,2025-02-07,2025-02-09
TRF-0124,ACC-002,ACC-006,USD,53919.71,21.57,2025-01-20,2025-01-20
TRF-0021,ACC-001,ACC-003,COP,244011907.43,97604.76,2025-02-08,2025-02-08
TRF-0136,ACC-003,ACC-002,COP,36414519.79,122160.63,2025-09-09,2025-09-11
TRF-0087,ACC-003,ACC-004,COP,167075799.95,580442.85,2025-02-24,2025-02-25
TRF-0132,ACC-006,ACC-004,USD,62489.04,247.54,2025-04-17,2025-04-20
TRF-0109,ACC-003,ACC-002,COP,229857927.77,919418.51,2025-02-03,2025-02-06
TRF-0034,ACC-004,ACC-006,MXN,56143.61,128.73,2025-02-27,2025-03-02
TRF-0088,ACC-005,ACC-001,MXN,3677.14,7.91,2025-05-07,2025-05-08
TRF-0098,ACC-006,ACC-004,USD,105846.61,401.25,2025-05-07,2025-05-08
TRF-0127,ACC-001,ACC-004,COP,10349131.89,16249.5,2025-09-03,2025-09-06
TRF-0084,ACC-005,ACC-006,MXN,101160.28,227.16,2025-04-27,2025-04-30
TRF-0048,ACC-003,ACC-002,COP,287015359.46,1001665.56,2025-07-03,2025-07-05
TRF-0107,ACC-006,ACC-003,USD,66914.99,253.67,2025-04-08,2025-04-10
TRF-0049,ACC-004,ACC-003,MXN,46167.51,149.18,2025-04-17,2025-04-19
TRF-0019,ACC-006,ACC-002,USD,103094.22,41.24,2025-01-11,2025-01-11
TRF-0128,ACC-006,ACC-005,USD,95296.64,181.18,2025-02-07,2025-02-10
TRF-0122,ACC-003,ACC-002,COP,206507597.34,423940.18,2025-05-31,2025-06-01
TRF-0091,ACC-002,ACC-005,USD,115209.21,176.75,2025-07-17,2025-07-19
TRF-0039,ACC-001,ACC-004,COP,169751946.15,509634.06,2025-04-03,2025-04-05
TRF-0026,ACC-004,ACC-002,MXN,58621.65,136.02,2025-02-26,2025-02-27
TRF-0020,ACC-006,ACC-001,USD,3455.67,6.66,2025-09-08,2025-09-10
TRF-0079,ACC-001,ACC-004,COP,105245229.13,299114.41,2025-03-05,2025-03-07
TRF-0033,ACC-006,ACC-005,USD,114752.29,174.07,2025-03-19,2025-03-21
TRF-0073,ACC-006,ACC-002,USD,116558.25,46.62,2025-06-04,2025-06-05
TRF-0069,ACC-002,ACC-004,USD,77883.4,293.59,2025-06-19,2025-06-20
TRF-0125,ACC-001,ACC-002,COP,272323502.9,840036.63,2025-09-18,2025-09-19
TRF-0009,ACC-006,ACC-005,USD,64338.51,96.72,2025-08-10,2025-08-11
TRF-0004,ACC-001,ACC-006,COP,190613391.95,436912.14,2025-06-01,2025-06-03
TRF-0002,ACC-006,ACC-003,USD,5202.52,15.1,2025-07-06,2025-07-09
TRF-0060,ACC-001,ACC-004,COP,19413672.49,55217.63,2025-03-19,2025-03-21
TRF-0051,ACC-001,ACC-004,COP,156707210.26,479273.3,2025-01-13,2025-01-14
TRF-0140,ACC-001,ACC-005,COP,274918928.1,433631.01,2025-05-27,2025-05-29
TRF-0054,ACC-003,ACC-004,COP,35998086.39,113329.7,2025-02-11,2025-02-12
TRF-0006,ACC-006,ACC-001,USD,96033.23,268.56,2025-01-19,2025-01-22
TRF-0096,ACC-002,ACC-005,USD,100235.88,383.14,2025-05-24,2025-05-26
TRF-0105,ACC-001,ACC-002,COP,140952778.51,335987.33,2025-03-31,2025-04-03
TRF-0041,ACC-005,ACC-003,MXN,71189.52,136.23,2025-08-17,2025-08-18
TRF-0116,ACC-001,ACC-002,COP,235251435.18,488271.03,2025-09-05,2025-09-06
TRF-0114,ACC-002,ACC-004,USD,104705.74,291.21,2025-06-27,2025-06-29
TRF-0056,ACC-001,ACC-002,COP,235673856.14,710467.65,2025-07-23,2025-07-25
TRF-0008,ACC-004,ACC-003,MXN,107039.18,302.0,2025-01-24,2025-01-26
TRF-0015,ACC-003,ACC-005,COP,222866824.66,391518.17,2025-05-21,2025-05-23
TRF-0045,ACC-003,ACC-004,COP,81361617.28,188167.69,2025-08-22,2025-08-25
TRF-0111,ACC-005,ACC-004,MXN,88422.66,35.37,2025-05-05,2025-05-05
TRF-0058,ACC-001,ACC-004,COP,296223185.47,789020.56,2025-05-03,2025-05-06
TRF-0011,ACC-006,ACC-005,USD,5178.42,8.12,2025-08-07,2025-08-09
TRF-0108,ACC-005,ACC-002,MXN,4306.9,9.31,2025-04-11,2025-04-13
TRF-0090,ACC-006,ACC-004,USD,32063.03,91.17,2025-06-09,2025-06-11
TRF-0119,ACC-001,ACC-004,COP,284231201.14,616837.69,2025-03-31,2025-04-01
TRF-0028,ACC-004,ACC-005,MXN,3208.95,1.28,2025-03-17,2025-03-17
TRF-0024,ACC-005,ACC-002,MXN,97467.46,379.12,2025-04-30,2025-05-01
TRF-0097,ACC-001,ACC-004,COP,133073891.39,202825.59,2025-07-14,2025-07-15
TRF-0080,ACC-005,ACC-001,MXN,20602.29,32.8,2025-05-30,2025-05-31
TRF-0065,ACC-006,ACC-001,USD,86801.69,290.74,2025-04-05,2025-04-07
TRF-0117,ACC-001,ACC-005,COP,30703147.05,54567.81,2025-07-09,2025-07-10
TRF-0115,ACC-004,ACC-003,MXN,43512.19,71.7,2025-08-30,2025-08-31
TRF-0044,ACC-001,ACC-002,COP,6690615.71,16030.66,2025-02-13,2025-02-15
TRF-0071,ACC-005,ACC-004,MXN,16916.59,6.77,2025-01-08,2025-01-09
TRF-0068,ACC-002,ACC-001,USD,78249.14,145.63,2025-02-24,2025-02-27
TRF-0018,ACC-005,ACC-003,MXN,45558.84,93.53,2025-05-09,2025-05-12
TRF-0121,ACC-006,ACC-004,USD,2846.19,5.07,2025-05-06,2025-05-07
TRF-0138,ACC-006,ACC-003,USD,106657.88,347.16,2025-04-11,2025-04-13
TRF-0144,ACC-006,ACC-005,USD,49529.82,82.63,2025-04-13,2025-04-15
TRF-0143,ACC-006,ACC-004,USD,35636.25,102.17,2025-01-08,2025-01-11
TRF-0085,ACC-005,ACC-006,MXN,11347.91,21.16,2025-01-19,2025-01-21
TRF-0104,ACC-003,ACC-004,COP,235484832.6,459309.74,2025-04-04,2025-04-05
TRF-0118,ACC-006,ACC-002,USD,115460.92,46.18,2025-07-04,2025-07-04
TRF-0038,ACC-002,ACC-003,USD,87428.73,317.37,2025-03-07,2025-03-08
TRF-0075,ACC-002,ACC-006,USD,116229.48,46.49,2025-08-05,2025-08-05
TRF-0130,ACC-006,ACC-002,USD,98900.63,39.56,2025-01-11,2025-01-12
TRF-0035,ACC-002,ACC-006,USD,80539.29,32.22,2025-04-26,2025-04-26
TRF-0133,ACC-003,ACC-006,COP,24229415.1,83507.15,2025-04-25,2025-04-28
TRF-0126,ACC-005,ACC-003,MXN,44394.84,74.99,2025-01-31,2025-02-03
TRF-0046,ACC-006,ACC-005,USD,49529.82,82.63,2025-04-13,2025-04-15
TRF-0093,ACC-005,ACC-003,MXN,26318.76,94.46,2025-02-12,2025-02-14
TRF-0110,ACC-006,ACC-001,USD,61268.79,142.79,2025-01-05,2025-01-07
TRF-0025,ACC-005,ACC-002,MXN,91296.48,281.33,2025-04-15,2025-04-16
TRF-0083,ACC-002,ACC-005,USD,21993.99,38.02,2025-04-06,2025-04-07
TRF-0072,ACC-002,ACC-001,USD,74925.08,187.78,2025-03-03,2025-03-04
TRF-0077,ACC-003,ACC-002,COP,194502321.76,730225.62,2025-03-17,2025-03-19
TRF-0014,ACC-003,ACC-004,COP,66926271.18,138693.62,2025-09-18,2025-09-19
TRF-0082,ACC-002,ACC-003,USD,92870.92,250.53,2025-01-05,2025-01-07
TRF-0092,ACC-003,ACC-005,COP,222493033.43,759250.35,2025-08-29,2025-08-30
TRF-0081,ACC-002,ACC-004,USD,85593.58,210.63,2025-07-04,2025-07-06
